step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e01_horizontal_42.000,1,"[0.0, 1.0]","[-50.0, -110.0]","[-50.0, -110.0]","[10.5, -110.0]","[10.5, -85.0]","[[-50.0, -110.0], [10.5, -110.0], [10.5, -85.0]]",0.0,25.0,41,17,58,[1],"[0, 1, 3, 5, 7, 9]",0.0,0.0,56.92099788303084,28.78019253527503,step_00_e01_horizontal_42.000.png
1,e03_horizontal_14.000,3,"[0.0, 1.0]","[10.5, -85.0]","[10.5, -85.0]","[45.1875, -85.0]","[45.1875, -45.0]","[[10.5, -85.0], [45.1875, -85.0], [45.1875, -45.0]]",0.0,40.0,24,27,109,[3],"[0, 3, 5, 7, 9]",0.0,0.0,56.92099788303084,28.51153294127965,step_01_e03_horizontal_14.000.png
2,e04_vertical_-56.000,5,"[1.0, 0.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.1875, -45.0]","[55.0, -45.0]","[[45.1875, -45.0], [55.0, -45.0]]",0.0,9.8125,0,7,116,[4],"[0, 4, 8]",0.0,0.0,56.92099788303084,27.562129930043067,step_02_e04_vertical_-56.000.png
3,e05_horizontal_42.000,5,"[0.0, 1.0]","[55.0, -45.0]","[55.0, -45.0]","[63.0, -110.0]","[63.0, -85.0]","[[55.0, -45.0], [55.0, -110.0], [63.0, -110.0], [63.0, -85.0]]",0.0,25.0,49,17,182,[5],"[0, 1, 5, 7, 9]",0.0,0.0,56.92099788303084,26.549323308466185,step_03_e05_horizontal_42.000.png
4,e07_horizontal_14.000,7,"[0.0, 1.0]","[63.0, -85.0]","[63.0, -85.0]","[125.1875, -85.0]","[125.1875, -45.0]","[[63.0, -85.0], [125.1875, -85.0], [125.1875, -45.0]]",0.0,40.0,42,27,251,[7],"[0, 3, 7, 9]",0.0,0.0,56.92099788303084,26.482771887992925,step_04_e07_horizontal_14.000.png
5,e06_vertical_70.000,2,"[-1.0, 0.0]","[125.1875, -45.0]","[125.1875, -45.0]","[129.0, -85.0]","[125.0, -85.0]","[[125.1875, -45.0], [129.0, -45.0], [129.0, -85.0], [125.0, -85.0]]",0.0,4.0,30,3,284,[6],"[2, 6, 10]",0.0,0.0,56.92099788303084,18.515418362911337,step_05_e06_vertical_70.000.png
6,e08_vertical_-112.000,9,"[1.0, 0.0]","[125.0, -85.0]","[125.0, -85.0]","[125.0, -85.0]","[135.0, -85.0]","[[125.0, -85.0], [135.0, -85.0]]",0.0,10.0,0,7,291,[8],"[0, 8]",0.0,0.0,56.92099788303084,25.27097920536909,step_06_e08_vertical_-112.000.png
7,e09_horizontal_42.000,9,"[0.0, 1.0]","[135.0, -85.0]","[135.0, -85.0]","[135.0, -110.0]","[135.0, -85.0]","[[135.0, -85.0], [135.0, -110.0], [135.0, -85.0]]",0.0,25.0,17,17,325,[9],"[0, 1, 9]",0.0,0.0,55.48479521454779,24.97139963251465,step_07_e09_horizontal_42.000.png
8,e10_vertical_126.000,2,"[-1.0, 0.0]","[135.0, -85.0]","[135.0, -85.0]","[230.0, -85.0]","[205.0, -85.0]","[[135.0, -85.0], [230.0, -85.0], [205.0, -85.0]]",0.0,25.0,64,17,406,[10],"[2, 10]",0.0,0.0,6.0,1.0,step_08_e10_vertical_126.000.png
9,e11_horizontal_0.000,2,"[0.0, -1.0]","[205.0, -85.0]","[205.0, -85.0]","[129.0, 25.0]","[129.0, 25.0]","[[205.0, -85.0], [205.0, 25.0], [129.0, 25.0]]",0.0,0.0,74,51,531,[11],[11],0.0,0.0,6.0,1.0,step_09_e11_horizontal_0.000.png
10,e00_oblique_0.000,2,"[1.0, 0.0]","[129.0, 25.0]","[129.0, 25.0]","[-25.0, -85.0]","[-14.999999999999998, -85.0]","[[129.0, 25.0], [-25.0, 25.0], [-25.0, -85.0], [-14.999999999999998, -85.0]]",0.0,10.000000000000002,176,7,714,[0],[0],0.0,0.0,6.0,1.0,step_10_e00_oblique_0.000.png
