step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,hypothesis_count,contact_pair_converged,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e46_oblique_12.872,39,"[1.0, 0.0]","[-114.1587958115183, -42.03104712041885]","[-114.1587958115183, -42.03104712041885]","[-107.7587958115183, 9.836492146596857]","[-62.23636327023761, 9.836492146596857]","[[-114.1587958115183, -42.03104712041885], [-107.7587958115183, -42.03104712041885], [-107.7587958115183, 9.836492146596857], [-62.23636327023761, 9.836492146596857]]",0.0,45.522432541280686,39,31,70,[36],"[4, 5, 9, 10, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 46, 47, 53, 56, 59, 60, 61, 62, 63, 64]",1,True,0.0,0.0,24.715852544364076,13.747271294223184,step_00_e46_oblique_12.872.png
1,e47_oblique_83.085,47,"[1.0, 0.0]","[-62.23636327023761, 9.836492146596857]","[-62.23636327023761, 9.836492146596857]","[-114.15879581151829, 22.69178200183876]","[-70.47891257724427, 22.69178200183876]","[[-62.23636327023761, 9.836492146596857], [-114.15879581151829, 9.836492146596857], [-114.15879581151829, 22.69178200183876], [-70.47891257724427, 22.69178200183876]]",0.0,43.679883234274016,44,30,144,[47],"[4, 5, 9, 10, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 47, 53, 56, 59, 60, 61, 62, 63, 64]",1,True,0.0,0.0,24.715852544364076,13.24630057803311,step_01_e47_oblique_83.085.png
2,e53_oblique_28.646,0,"[1.0, 0.0]","[-70.47891257724427, 22.69178200183876]","[-70.47891257724427, 22.69178200183876]","[-107.7587958115183, 29.55528795811518]","[-64.55202792321117, 29.55528795811518]","[[-70.47891257724427, 22.69178200183876], [-107.7587958115183, 22.69178200183876], [-107.7587958115183, 29.55528795811518], [-64.55202792321117, 29.55528795811518]]",0.0,43.206767888307134,30,29,203,[28],"[4, 5, 9, 10, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 47, 53, 56, 59, 60, 61, 62, 63, 64]",1,True,0.0,0.0,24.715852544364076,13.320970873318359,step_02_e53_oblique_28.646.png
3,e56_oblique_33.894,5,"[0.0, -1.0]","[-64.55202792321117, 29.55528795811518]","[-64.55202792321117, 29.55528795811518]","[-64.55202792321117, 29.55528795811518]","[-64.55202792321117, 26.811437172774866]","[[-64.55202792321117, 29.55528795811518], [-64.55202792321117, 26.811437172774866]]",0.0,2.743850785340314,0,2,205,[56],"[1, 2, 3, 8, 9, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 27, 31, 32, 42, 43, 53, 54, 55, 56, 57, 58, 59, 60, 61]",1,True,0.0,0.0,24.715852544364076,13.134217410528407,step_03_e56_oblique_33.894.png
4,e56_oblique_33.894,50,"[0.0, 1.0]","[-64.55202792321117, 26.811437172774866]","[-64.55202792321117, 26.811437172774866]","[-52.932460732984275, -37.37571922700455]","[-52.932460732984275, 9.60382198952879]","[[-64.55202792321117, 26.811437172774866], [-107.7587958115183, 26.811437172774866], [-107.7587958115183, -37.37571922700455], [-52.932460732984275, -37.37571922700455], [-52.932460732984275, 9.60382198952879]]",0.0,46.97954121653334,109,32,346,[38],"[0, 4, 5, 6, 7, 10, 11, 12, 15, 25, 26, 28, 29, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 48, 49, 50, 51, 62, 63, 64, 65]",1,True,0.0,0.0,24.715852544364076,13.524117908763904,step_04_e56_oblique_33.894.png
5,e56_oblique_33.894,2,"[-1.0, 0.0]","[-52.932460732984275, 9.60382198952879]","[-52.932460732984275, 9.60382198952879]","[13.030243266462342, 39.78041884816753]","[-33.969842931937166, 39.78041884816753]","[[-52.932460732984275, 9.60382198952879], [-52.932460732984275, -41.28104712041885], [13.030243266462342, -41.28104712041885], [13.030243266462342, 39.78041884816753], [-33.969842931937166, 39.78041884816753]]",0.0,47.00008619839951,132,32,510,[2],"[0, 1, 2, 6, 7, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 37, 38, 39, 40, 41, 42, 43, 44, 45, 49, 50, 54, 55, 57, 58, 65]",1,True,0.0,0.0,24.715852544364076,13.810868171131604,step_05_e56_oblique_33.894.png
6,e58_oblique_28.921,7,"[0.0, -1.0]","[-33.969842931937166, 39.78041884816753]","[-33.969842931937166, 39.78041884816753]","[-30.82879581151832, 39.78041884816753]","[-30.82879581151832, 31.055287958115173]","[[-33.969842931937166, 39.78041884816753], [-30.82879581151832, 39.78041884816753], [-30.82879581151832, 31.055287958115173]]",0.0,8.725130890052354,3,6,519,[1],"[1, 2, 3, 8, 9, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 27, 31, 32, 42, 43, 53, 54, 55, 56, 57, 58, 59, 60, 61]",1,True,0.0,0.0,24.715852544364076,13.82454522477363,step_06_e58_oblique_28.921.png
7,e58_oblique_28.921,6,"[0.0, -1.0]","[-30.82879581151832, 31.055287958115173]","[-30.82879581151832, 31.055287958115173]","[-30.82879581151832, 31.055287958115173]","[-30.82879581151832, 18.200261780104714]","[[-30.82879581151832, 31.055287958115173], [-30.82879581151832, 18.200261780104714]]",0.0,12.855026178010458,0,9,528,[8],"[1, 2, 3, 8, 9, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 27, 31, 32, 42, 43, 46, 54, 55, 56, 57, 59, 60, 61]",1,True,0.0,0.0,24.715852544364076,13.70952256831713,step_07_e58_oblique_28.921.png
8,e58_oblique_28.921,1,"[-1.766285523133394e-16, 0.9999999999999998]","[-30.82879581151832, 18.200261780104714]","[-30.82879581151832, 18.200261780104714]","[-30.82879581151832, 18.200261780104714]","[-30.828795811518322, 29.555287958115183]","[[-30.82879581151832, 18.200261780104714], [-30.828795811518322, 29.555287958115183]]",0.0,11.35502617801047,0,8,536,[0],"[0, 4, 5, 6, 7, 10, 11, 12, 15, 25, 26, 28, 29, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 48, 49, 50, 62, 63, 64, 65]",1,True,0.0,0.0,24.715852544364076,13.582647097530625,step_08_e58_oblique_28.921.png
9,e65_oblique_-20.226,8,"[-1.0, 0.0]","[-30.828795811518322, 29.555287958115183]","[-30.828795811518322, 29.555287958115183]","[10.238672406134036, 18.20026178010471]","[-30.82879581151832, 18.20026178010471]","[[-30.828795811518322, 29.555287958115183], [10.238672406134036, 29.555287958115183], [10.238672406134036, 18.20026178010471], [-30.82879581151832, 18.20026178010471]]",0.0,41.067468217652355,35,28,599,[8],"[0, 1, 2, 6, 7, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 37, 38, 39, 40, 41, 42, 43, 44, 45, 49, 50, 51, 52, 54, 55, 57, 65]",1,True,0.0,0.0,24.715852544364076,13.527820393499375,step_09_e65_oblique_-20.226.png
